name,movie
Frank Borzage,Seventh Heaven
Lewis Milestone,Two Arabian Knights
Frank Lloyd,The Divine Lady
Lewis Milestone,All Quiet on the Western Front
Norman Taurog,Skippy
Frank Borzage,Bad Girl
Frank Lloyd,Cavalcade
Frank Capra,It Happened One Night
John Ford,The Informer
Frank Capra,Mr. Deeds Goes to Town
Leo McCarey,The Awful Truth
Frank Capra,You Can't Take It With You
Victor Fleming,Gone with the Wind
John Ford,The Grapes of Wrath
John Ford,How Green Was My Valley
William Wyler,Mrs. Miniver
Michael Curtiz,Casablanca
Leo McCarey,Going My Way
Billy Wilder,The Lost Weekend
William Wyler,The Best Years of Our Lives
Elia Kazan,Gentleman's Agreement
John Huston,The Treasure of the Sierra Madre
Joseph L. Mankiewicz,A Letter to Three Wives
Joseph L. Mankiewicz,All About Eve
George Stevens,A Place in the Sun
John Ford,The Quiet Man
Fred Zinnemann,From Here to Eternity
Elia Kazan,On the Waterfront
Delbert Mann,Marty
George Stevens,Giant
David Lean,The Bridge on the River Kwai
Vincente Minnelli,Gigi
William Wyler,Ben-Hur
Billy Wilder,The Apartment
Jerome Robbins,West Side Story
Robert Wise,West Side Story
David Lean,Lawrence of Arabia
Tony Richardson,Tom Jones
George Cukor,My Fair Lady
Robert Wise,The Sound of Music
Fred Zinnemann,A Man for All Seasons
Mike Nichols,The Graduate
Carol Reed,Oliver!
John Schlesinger,Midnight Cowboy
Franklin J. Schaffner,Patton
William Friedkin,The French Connection
Bob Fosse,Cabaret
George Roy Hill,The Sting
Francis Ford Coppola,The Godfather Part II
Milo_ Forman,One Flew Over the Cuckoo's Nest
John G. Avildsen,Rocky
Woody Allen,Annie Hall
Michael Cimino,The Deer Hunter
Robert Benton,Kramer vs. Kramer
Robert Redford,Ordinary People
Warren Beatty,Reds
Richard Attenborough,Gandhi
James L. Brooks,Terms of Endearment
Milo_ Forman,Amadeus
Sydney Pollack,Out of Africa
Oliver Stone,Platoon
Bernardo Bertolucci,The Last Emperor
Barry Levinson,Rain Man
Oliver Stone,Born on the Fourth of July
Kevin Costner,Dances with Wolves
Jonathan Demme,The Silence of the Lambs
Clint Eastwood,Unforgiven
Steven Spielberg,Schindler's List
Robert Zemeckis,Forrest Gump
Mel Gibson,Braveheart
Anthony Minghella,The English Patient
James Cameron,Titanic
Steven Spielberg,Saving Private Ryan
Sam Mendes,American Beauty
Steven Soderbergh,Traffic
Ron Howard,A Beautiful Mind
Roman Polanski,The Pianist
Peter Jackson,Lord of the Rings: The Return of the King
Clint Eastwood,Million Dollar Baby
Ang Lee,Brokeback Mountain
Martin Scorsese,The Departed
Ethan Coen,No Country for Old Men
Joel Coen,No Country for Old Men
Danny Boyle,Slumdog Millionaire
Kathryn Bigelow,The Hurt Locker
Tom Hooper,The King's Speech
Michel Hazanavicius,The Artist
Ang Lee,Life of Pi
Alfonso Cuar—n,Gravity
Alejandro Gonzalez Inarritu,Birdman
